"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.rougier-ple.fr/phproduct/20260128/P_318656_P_1_LISTE.jpg","image/jpeg","10677","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180425/P_318650_P_1_LISTE.jpg","image/jpeg","3144","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318643_P_1_LISTE.jpg","image/jpeg","4192","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190208/P_318661_P_1_LISTE.jpg","image/jpeg","3302","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318637_P_1_LISTE.jpg","image/jpeg","4428","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20191209/P_318664_P_1_LISTE.jpg","image/jpeg","3864","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180425/P_476462_P_1_LISTE.jpg","image/jpeg","3065","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318660_P_1_LISTE.jpg","image/jpeg","4417","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180228/P_476459_P_1_LISTE.jpg","image/jpeg","4148","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180420/P_318741_P_1_LISTE.jpg","image/jpeg","3356","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318657_P_1_LISTE.jpg","image/jpeg","3199","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318646_P_1_LISTE.jpg","image/jpeg","3132","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318739_P_1_LISTE.jpg","image/jpeg","2989","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190208/P_318663_P_1_LISTE.jpg","image/jpeg","4381","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318738_P_1_LISTE.jpg","image/jpeg","4250","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/stickers/promo-40.png","image/png","433","122","Indexable","",""
