"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/beaux-arts/huile.r.html","1","HUILE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","645","Indexable",""
"https://www.rougier-ple.fr/peinture-par-numero.r.html","1","PEINTURE PAR NUMÉRO sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","122","763","Indexable",""
"https://www.rougier-ple.fr/posca-1315.r.html","1","POSCA sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","651","Indexable",""
"https://www.rougier-ple.fr/materiel-architecture.r.html","1","MATÉRIEL ARCHITECTURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","124","777","Indexable",""
"https://www.rougier-ple.fr/ciseaux-colle.r.html","1","CISEAUX sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","110","663","Indexable",""
"https://www.rougier-ple.fr/moule-resine.r.html","1","MOULE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","653","Indexable",""
"https://www.rougier-ple.fr/presse.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/magasins.r.html","1","Retrouvez les adresses, horaires d'ouverture et actualités du réseau des 50 magasins du groupe Rougier & Plé.","109","690","Indexable",""
"https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","1","OBJETS À DÉCORER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","735","Indexable",""
"https://www.rougier-ple.fr/crea-1257.r.html","1","CRÉA sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","107","641","Indexable",""
"https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","1","CRAYON sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","661","Indexable",""
"https://www.rougier-ple.fr/pastel.r.html","1","Pastel : 
				Fournitures et matériel du rayon 
				Pastel 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","126","653","Indexable",""
"https://www.rougier-ple.fr/plan-du-site.r.html","1","Retrouvez sur notre plan du site l’accès à l’ensemble des rayons de la boutique en ligne Rougier & Plé.","103","636","Indexable",""
"https://www.rougier-ple.fr/calligraphie.r.html","1","Calligraphie : 
				Fournitures et matériel du rayon 
				Calligraphie 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","138","724","Indexable",""
"https://www.rougier-ple.fr/paiement-securise.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","1","PORTE-MINE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","688","Indexable",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","1","SAC DE TRANSPORT sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","738","Indexable",""
"https://www.rougier-ple.fr/reception.r.html","1","RÉCEPTION sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","112","681","Indexable",""
"https://www.rougier-ple.fr/trousse-2996.r.html","1","TROUSSE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","110","667","Indexable",""
"https://www.rougier-ple.fr/restauration.r.html","1","Ebenisterie : 
				Fournitures et matériel du rayon 
				Ebenisterie 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","136","715","Indexable",""
"https://www.rougier-ple.fr/papier-reliure.r.html","1","PAPIER RELIURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","712","Indexable",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","1","HERBIER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","110","662","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","1","STYLO sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","648","Indexable",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","1","ACCESSOIRE ENCADREMENT sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","125","794","Indexable",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","1","FEUTRE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","656","Indexable",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","1","CHARBONNEL sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","697","Indexable",""
"https://www.rougier-ple.fr/livre.r.html","1","LIVRE ENFANT sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","115","700","Indexable",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","1","CADRE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","650","Indexable",""
"https://www.rougier-ple.fr/scrapbooking.r.html","1","Scrapbooking : 
				Fournitures et matériel du rayon 
				Scrapbooking 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","138","748","Indexable",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","1","FEUTRE À ALCOOL sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","118","725","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","1","GOUACHE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","110","671","Indexable",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","1","ARGILE AUTODURCISSANTE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","125","786","Indexable",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","1","Peinture Acrylique : 
				Fournitures et matériel du rayon 
				Peinture Acrylique 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","150","803","Indexable",""
"https://www.rougier-ple.fr/contact.r.html","1","Une question ? Notre service client est à votre disposition. La réponse à vos questions se trouve peut-être dans notre rubrique FAQ.","132","817","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","1","MEILLEURES VENTES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","743","Indexable",""
"https://www.rougier-ple.fr/cartable.r.html","1","CARTABLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","675","Indexable",""
"https://www.rougier-ple.fr/sennelier.r.html","1","SENNELIER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","112","679","Indexable",""
"https://www.rougier-ple.fr/plume-calame.r.html","1","PLUME sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","652","Indexable",""
"https://www.rougier-ple.fr/nouveautes2.r.html","1","NOUVEAUTÉS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","695","Indexable",""
"https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","1","Modelage : 
				Fournitures et matériel du rayon 
				Modelage 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","130","700","Indexable",""
