"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/alginate-moulage.r.html","1","Alginate pour prise d'empreinte sur le corps Moulage de main ou projet de reproduction pour tirage unique","105","936","Indexable",""
"https://www.rougier-ple.fr/modelage.r.html","1","Outils modelage argile - Materiel activité modelage - Rougier&Plé","65","570","Indexable",""
"https://www.rougier-ple.fr/papier-de-soie-crepon.r.html","1","Papier de soie, crépon","22","196","Indexable",""
"https://www.rougier-ple.fr/fusain-crayon-porte-mine.r.html","1","Achat Fusain pas cher - Vente Crayon graphite, Porte-mine - Rougier&Plé","71","640","Indexable",""
"https://www.rougier-ple.fr/decopatch.r.html","1","Collage: Papier maché, papier décoratifs et vernis Colle |Rougier&Plé<br type=""_moz"" />","87","604","Indexable",""
"https://www.rougier-ple.fr/feutre-surligneur.r.html","1","Feutre, surligneur","18","154","Indexable",""
"https://www.rougier-ple.fr/confection-abat-jour.r.html","1","Confection abat jour tissu - Fabriquer abat-jour  - Rougier & Plé","65","546","Indexable",""
"https://www.rougier-ple.fr/moule-gateau-deco-enfant.r.html","1","Moule à gâteau, Décor","21","198","Indexable",""
"https://www.rougier-ple.fr/petites-fournitures.r.html","1","Gomme, Colle et Taille-crayon pour le bureau ou l'école chez Rougier&Plé","72","645","Indexable",""
"https://www.rougier-ple.fr/papier-1585.r.html","1","Papier dessin, Papier couleur pas cher, Achat en ligne de nos papiers","69","607","Indexable",""
"https://www.rougier-ple.fr/coffret-beaux-arts.r.html","1","Coffret Beaux-Arts","18","164","Indexable",""
"https://www.rougier-ple.fr/embellissement-ruban-noeud.r.html","1","Embellissement, ruban, nœud","27","262","Indexable",""
"https://www.rougier-ple.fr/book-nook.r.html","1","Maquettes Rolife Book Nook sur Rougier&Plé<br type=""_moz"" />","60","400","Indexable",""
"https://www.rougier-ple.fr/chassis-toile.r.html","1","Toile sur châssis pas cher - Vente chassis toilé - Rougier & Plé","64","547","Indexable",""
"https://www.rougier-ple.fr/perles-repasser-support.r.html","1","Perles à repasser, Support perles à repasser | Rougier&Plé","58","512","Indexable",""
"https://www.rougier-ple.fr/ciseaux-cutter.r.html","1","Ciseaux, cutter","15","131","Indexable",""
"https://www.rougier-ple.fr/peinture-pochoirs-tampons.r.html","1","Peinture pour enfants sur Rougier & Plé","39","348","Indexable",""
"https://www.rougier-ple.fr/pate-polymere-fimo-1593.r.html","1","Pâte polymère, Fimo - Rougier & Plé","35","315","Indexable",""
"https://www.rougier-ple.fr/maquillage.r.html","1","Maquillage, Tatouage, Sticker visage pour enfant | Rougier&Plé","62","553","Indexable",""
"https://www.rougier-ple.fr/argile.r.html","1","Argile","6","51","Indexable",""
"https://www.rougier-ple.fr/moulage-enfant.r.html","1","Moulage pour les enfants, Plâtre à couler dès 6 ans | Rougier&Plé","65","575","Indexable",""
"https://www.rougier-ple.fr/loisirs-creatifs/decoden.r.html","1","Tendance créative Decoden - Décorez vos objets préférés | Rougier&PLé<br type=""_moz"" />","87","636","Indexable",""
"https://www.rougier-ple.fr/calculatrice.r.html","1","Calculatrice scolaire et professionnelle sur Rougier&Plé","56","490","Indexable",""
"https://www.rougier-ple.fr/canson.r.html","1","Canson achat en ligne - Vente produits Canson pas cher - Rougier & Plé","70","629","Indexable",""
"https://www.rougier-ple.fr/outil-modelage-sculpture-professionnel.r.html","1","Découvrez une vaste gamme d’outils pour le modelage et la sculpture pour de nombreux matériaux<br />","100","874","Indexable",""
"https://www.rougier-ple.fr/pyrograveur-pointe.r.html","1","Pyrograveur, pointe","19","172","Indexable",""
"https://www.rougier-ple.fr/devis-bon-commande.r.html","1","Devis - Bon de commande - Bon administratif - Rougier & Plé - Rougier & Plé","75","666","Indexable",""
"https://www.rougier-ple.fr/promotions2.r.html?f=att_628:9862","1","Promotions chez Rougier & Plé","29","275","Non indexable","Canonisé"
"https://www.rougier-ple.fr/boite-pastels.r.html","1","Boite pastels : coffrets de pastels et boites de rangement pour pastel sur Rougier&Plé","86","754","Indexable",""
"https://www.rougier-ple.fr/accessoire-beaux-arts.r.html","1","Accessoire Beaux-Arts","21","201","Indexable",""
"https://www.rougier-ple.fr/encre-1735.r.html","1","Encre de Chine - Encre art graphique","36","320","Indexable",""
"https://www.rougier-ple.fr/coloriage-adulte.r.html","1","Coloriage Adulte sur Rougier&Plé","32","294","Indexable",""
"https://www.rougier-ple.fr/peinture-deco.r.html","1","Home Déco - Peinture décorative et objets à customiser | Rougier&Plé","68","616","Indexable",""
"https://www.rougier-ple.fr/fournitures-de-bureau.r.html","1","Fournitures de bureau variées Articles de papeterie pas chers Chez Rougier&Plé","78","703","Indexable",""
"https://www.rougier-ple.fr/newsletter.r.html","1","Rougier & Plé – Inscription à la newsletter","43","369","Indexable",""
"https://www.rougier-ple.fr/cutter-ciseaux-lame.r.html","1","Cutter, Ciseaux, Lame","21","192","Indexable",""
"https://www.rougier-ple.fr/chambre-enfant-deco.r.html","1","Décoration chambre enfant DIY | Rougier&Plé","43","401","Indexable",""
"https://www.rougier-ple.fr/enfant-masque-deguisement.r.html","1","Masques à personnaliser, Déguisements pour enfant | Rougier&Plé<br type=""_moz"" />","81","590","Indexable",""
"https://www.rougier-ple.fr/feuilles-dorer.r.html","1","Feuilles à dorer","16","135","Indexable",""
"https://www.rougier-ple.fr/mentions-legales.r.html","1","Mentions Légales - Rougier & Plé","32","291","Indexable",""
"https://www.rougier-ple.fr/promotions2.r.html","1","Promotions chez Rougier & Plé","29","275","Indexable",""
"https://www.rougier-ple.fr/crayon-de-couleur-1590.r.html","1","Crayons de couleur - Toutes les couleurs possibles","50","450","Indexable",""
"https://www.rougier-ple.fr/la-livraison.r.html","1","La livraison - Rougier & Plé","28","235","Indexable",""
"https://www.rougier-ple.fr/maquettisme.r.html","1","Materiel maquettisme pas cher - Matériel modelisme- Rougier&Plé","63","585","Indexable",""
"https://www.rougier-ple.fr/papeterie-scolaire-familiale.r.html","1","Papeterie scolaire et familiale chez Rougier & Plé","50","431","Indexable",""
"https://www.rougier-ple.fr/carte-enveloppe-papier.r.html","1","Carte, Enveloppe - achat en ligne pas cher","42","367","Indexable",""
"https://www.rougier-ple.fr/papeterie/lives.r.html","1","Livres Créatifs - Arts, Loisirs Créatifs, Coloriage | Rougier&Plé","65","539","Indexable",""
"https://www.rougier-ple.fr/papier-decoratif-papier-decopatch.r.html","1","Papier décoratif - Rougier & Plé","32","274","Indexable",""
"https://www.rougier-ple.fr/librairie-beaux-arts-loisirs-creatifs.r.html","1","Librairie chez Rougier & Plé","28","241","Indexable",""
"https://www.rougier-ple.fr/enfant-maquette-construction.r.html","1","Jeux de construction et maquettes pour les enfants sur Rougier et Plé","69","616","Indexable",""
"https://www.rougier-ple.fr/carcasse-abat-jour-polyphane.r.html","1","Carcasse d'abat-jour, Polyphane","31","284","Indexable",""
"https://www.rougier-ple.fr/normographe.r.html","1","Normographe sur Rougier&Plé","27","270","Indexable",""
"https://www.rougier-ple.fr/carton-plume-carton-mousse-carton-gris-carton-bois.r.html","1","Carton plume, Carton mousse, Carton gris, Carton bois","53","484","Indexable",""
"https://www.rougier-ple.fr/adhesif.r.html","1","Adhésif et Ruban adhésif - Rougier & Plé","40","355","Indexable",""
"https://www.rougier-ple.fr/protection-donnees-personnelles-privee.r.html","1","Protection des données personnelles  - Rougier & Plé","52","462","Indexable",""
"https://www.rougier-ple.fr/fetes-maquillage.r.html","1","DIY Fête, Anniversaire des enfants sur Rougier & Plé","52","458","Indexable",""
"https://www.rougier-ple.fr/modelage-pate-modeler.r.html","1","Modelage enfant, Moulage enfant sur Rougier & Plé<br />","55","454","Indexable",""
"https://www.rougier-ple.fr/enfant-objet-decorer.r.html","1","Objet en bois, Objet en papier mâché, Objet polystyrène | Rougier&Plé","69","608","Indexable",""
"https://www.rougier-ple.fr/enfant-customisation.r.html","1","Customisation DIY enfants sur Rougier & Plé","43","394","Indexable",""
"https://www.rougier-ple.fr/papier-kraft-2998.r.html","1","Papier kraft sur Rougier&Plé","28","249","Indexable",""
"https://www.rougier-ple.fr/resine.r.html","1","Résine de moulage sur Rougier & plé","35","323","Indexable",""
"https://www.rougier-ple.fr/dessin-artistique.r.html","1","Matériel dessin artistique - Vente crayon pas cher - Rougier & Plé","66","569","Non indexable","Canonisé"
"https://www.rougier-ple.fr/encadrement.r.html","1","Encadrement d'art loisir - Encadrement tableau - Rougier & Plé","62","546","Non indexable","Canonisé"
"https://www.rougier-ple.fr/origami-kirigami-quilling-pliage-papier.r.html","1","Art du papier - Origami - Pliage - Papier Créatif | Rougier & Plé<br type=""_moz"" />","83","537","Non indexable","Canonisé"
"https://www.rougier-ple.fr/bd-manga-illustration.r.html","1","Matériel de dessin pour la réalisation de Bande-dessinée Manga Comics et Illustrations","86","768","Indexable",""
"https://www.rougier-ple.fr/tissu-feutrine-chenille.r.html","1","Tissu, feutrine, laine, chenille","32","253","Indexable",""
"https://www.rougier-ple.fr/origami-1599.r.html","1","Papier origami, Paper craft, Paper toys, Papier crépon | Rougier&Plé","68","595","Indexable",""
"https://www.rougier-ple.fr/puzzle.r.html","1","Puzzle adulte sur Rougier&Plé","29","266","Indexable",""
"https://www.rougier-ple.fr/moulage.r.html","1","Materiel moulage pas cher - Vente outils moulage - Rougier&Plé","62","562","Indexable",""
"https://www.rougier-ple.fr/pate-modeler-art-professionnelle.r.html","1","Retrouvez chez Rougier&Plé une grande variété de produits de modelage destinées aux artistes<br />","98","840","Indexable",""
"https://www.rougier-ple.fr/mini-toile-avec-chevalet-de-presentation-6-8-cm-rougier-ple.r.html","1","Mini-toile en coton avec chevalet de présentation 6 x 8 cm - Rougier&Plé Rougier&Plé chez Rougier & Plé","103","919","Indexable",""
"https://www.rougier-ple.fr/toile-polyester-grain-fin.r.html","1","Toile enduite en Polyester grain fin au mètre Hauteur 2,10 m - Talens Talens chez Rougier & Plé","95","839","Indexable",""
