"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/plan-du-site.r.html","Plan du site – Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/calligraphie.r.html","Vente matériel calligraphie Arabe, Chinoise, Japonaise pas cher","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/paiement-securise.r.html","Paiement Sécurisé - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","Porte-mine et étui ou assortiment de mine pour le dessin chez Rouger-Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","Sac de transport, Carton à dessin, Tube","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/reception.r.html","Réception chez Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/trousse-2996.r.html","Trousse Legami, Tann's et Kickers sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/restauration.r.html","Matériaux et outils pour la Vannerie Cannage et Rempaillage Ebenisterie Restauration meuble ancien","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/papier-reliure.r.html","Papier reliure","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","Herbier, Presse-fleur, Globe terrestre, Jumelles, Loupe | RougieréPlé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","Stylo, stylo plume","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","Accessoire Encadrement","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","Marqueur pas cher - Vente malette marqueurs  - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","Encre Charbonnel par Lefranc Bourgeois - Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/livre.r.html","Livres créatifs enfant, Livres de coloriage et gommettes |Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","Cadre Sous-Verre - cadres pas cher - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/scrapbooking.r.html","Scrapbooking : outils, matières, supports et accessoires pour le scrapbooking","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","Feutre à alcool Promarker, Créamarker, Copic sur Rougier&Plé<br type=""_moz"" />","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","Gouache de qualité Beaux-Arts à l'unité ou en coffret | Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","Argile autodurcissante et pâtes autodurcissante pour modelage sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","Acheter peinture acrylique - Vente peintures acryliques pas cher Gammes variées Étude Fine et Extra-Fine ","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/contact.r.html","Rougier & Plé - Formulaire de contact","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","Meilleures Ventes chez Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/cartable.r.html","Cartable Tann's et Kickers sur Rougier&Plé","0","","","","","","","Indexable",""
