"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/library/pictures/footer/rea_paiement-securise-2025.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/encarts-bas-site-mag.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/pastel.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/pastel.r.html","",""
"https://www.rougier-ple.fr/plan-du-site.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/plan-du-site.r.html","",""
"https://www.rougier-ple.fr/calligraphie.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/calligraphie.r.html","",""
"https://www.rougier-ple.fr/paiement-securise.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/paiement-securise.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-Nouveautes-2026.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","",""
"https://www.rougier-ple.fr/reception.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/reception.r.html","",""
"https://www.rougier-ple.fr/trousse-2996.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/trousse-2996.r.html","",""
"https://www.rougier-ple.fr/restauration.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/restauration.r.html","",""
"https://www.rougier-ple.fr/library/css/img/encart_layer3.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/footer/Tiktko-Footer.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/papier-reliure.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/papier-reliure.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques-titre.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/stylo-stylo-plume.r.html","",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/accessoire-encadrement.r.html","",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/feutre-marqueur.r.html","",""
"https://www.rougier-ple.fr/VAD/resources/js/jquery/box.js","text/javascript","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/les-marques/charbonnel.r.html","",""
"https://www.rougier-ple.fr/livre.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/livre.r.html","",""
"https://www.rougier-ple.fr/library/css/img/BigMenu-2026-DestockageEnfant.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cadre-sous-verre.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-Bons-Plans-2026.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/scrapbooking.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/scrapbooking.r.html","",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/feutres-alcool.r.html","",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/beaux-arts/gouache.r.html","",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-acrylique.r.html","",""
"https://www.rougier-ple.fr/contact.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/contact.r.html","",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/meilleures-ventes2.r.html","",""
"https://www.rougier-ple.fr/library/css/img/puce-7.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_faber.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-MDD-2026.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/cartable.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cartable.r.html","",""
