"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.rougier-ple.fr/impression-fine-art.r.html","text/html; charset=UTF-8","302","Found","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","279","278","0","100,000","0","0","0","0","0","0","","","","","","0,321","","https://www.rougier-ple.fr/catalogEntryList.html;jsessionid=25BD7238FC844AFDEC8574EA92EBC4B5?storeId=1&langId=1&categoryId=4747","Redirection HTTP","","","1.1","","","","","","https://www.rougier-ple.fr/impression-fine-art.r.html","2026-03-05 16:58:31"
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_raphael.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","19794","19794","19794","7,583","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,118","Tue, 01 Apr 2025 14:11:55 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_raphael.jpg","2026-03-05 16:58:34"
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Livre d'artisanat d'art","23","184","LIVRE D'ARTISANAT D'ART sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","126","776","","0","Livre artisanat d'art","21","","0","Livre Argile autodurcissante 20 projets pour apprendre à modeler - Marabout","75","Le grand livre de la Linogravure","32","","","","https://www.rougier-ple.fr/livre-artisanat-art.r.html","","","","","","102447","30081","30081","11,523","","1462","482","3,033","81,254","Facile","8,690","1","0","","405","278","0","100,000","480","244","0","7","7","0","","","","","6843a13eb8adb4d5a1c398a44c23a692","1,201","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/livre-artisanat-art.r.html","2026-03-05 16:58:32"
"https://www.rougier-ple.fr/library/pictures/footer/Instagram-footer.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","8012","8012","8012","3,069","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,078","Tue, 28 Mar 2023 09:14:11 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/pictures/footer/Instagram-footer.png","2026-03-05 16:58:34"
"https://www.rougier-ple.fr/peinture-1597.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Peinture enfant, Peinture au doigt, coffrets peinture enfant | Rougier&Plé<br type=""_moz"" />","92","636","PEINTURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","671","","0","Peinture enfant Gouache, acrylique","34","","0","Peinture par numéros 30 x 30 cm Flower Power Aïssa - Oz International","69","Aquarellum 3D Live Fonds Marins - Sentosphère","45","","","","https://www.rougier-ple.fr/peinture-1597.r.html","https://www.rougier-ple.fr/peinture-1597.r.html?page=2","","","","","131143","36083","36083","13,823","","1867","558","3,346","83,857","Facile","8,599","1","0","","407","278","0","100,000","561","266","0","7","7","0","","","","","3d1eba4f7918148e1851dc979e2b1c85","1,388","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/peinture-1597.r.html","2026-03-05 16:58:33"
"https://www.rougier-ple.fr/linogravure.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Matériel linogravure pas cher - Linogravure maison - Rougier&Plé","64","572","Linogravure : 
				Fournitures et matériel du rayon 
				Linogravure 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","136","723","","0","Linogravure","11","","0","Matières","8","Supports","8","","","","https://www.rougier-ple.fr/linogravure.r.html","","","","","","71254","21923","21923","8,398","","1123","321","3,498","70,470","Assez facile","9,998","1","0","","279","278","0","100,000","271","230","0","7","7","0","","","","","efa5fba123f702199a3077f3d77fbf17","0,332","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/linogravure.r.html","2026-03-05 16:58:34"
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Planche à dessin, compas, équerre","33","307","PLANCHE À DESSIN sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","733","","0","Planche à dessin, compas, équerre","33","","0","Normographe ISO Alphabet 5 mm - Koh I Noor","42","Normographe ISO Alphabet 3,5 mm - Koh I Noor","44","","","","https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html?page=2","","","","","129423","35851","35851","13,734","","1860","579","3,212","89,819","Facile","8,544","1","0","","404","278","0","100,000","562","267","0","7","7","0","","","","","61fe797f4a080e7868a61e7e58639fa6","1,324","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","2026-03-05 16:58:34"
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Carnet de coloriage, Livre de coloriage pour enfant | Rougier&Plé","65","568","CARNET sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","660","","0","Cahier de coloriage enfant","26","","0","Coloriage Graffy 3D Animaux de la savane - Avenue Mandarine","59","Au fil des saisons 40 Coloriages Mystère - Dessain et Tolra","59","","","","https://www.rougier-ple.fr/cahier-de-coloriage.r.html","https://www.rougier-ple.fr/cahier-de-coloriage.r.html?page=2","","","","","130509","36316","36316","13,912","","1876","564","3,326","84,045","Facile","8,520","1","0","","405","278","0","100,000","563","268","0","7","7","0","","","","","c49806da9f3bf51a8055a0f0bec5652f","1,535","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/cahier-de-coloriage.r.html","2026-03-05 16:58:33"
"https://www.rougier-ple.fr/marques/dejou.r.html","text/html;charset=UTF-8","200","OK","Indexable","","L'Atelier des fleurs en bois à customiser Dejou | Rougier&Plé<br type=""_moz"" />","79","532","DEJOU sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","650","","0","fleur en bois Dejou","19","","0","Roues à dessin en bois à monter A4 - Dejou","42","Roues à dessin en bois à monter A5 - Dejou","42","","","","https://www.rougier-ple.fr/marques/dejou.r.html","","","","","","113400","31110","31110","11,918","","1799","665","2,705","90,145","Très facile","8,544","1","1","","12","11","0","3,960","666","581","0","7","7","0","","","","","d02d854ea39f75d42aac06a141c3c441","2,237","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/marques/dejou.r.html","2026-03-05 16:58:33"
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Matériel pour la confection et le bricolage des enfants","55","475","CONFECTION sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","692","","0","Confection, Bricolage enfant","28","","0","Peluche super soft Coccinelle - Legami","38","Coussin super soft Coccinelle - Legami","38","","","","https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","https://www.rougier-ple.fr/confection-bricolage-enfant.r.html?page=2","","","","","133771","35520","35520","13,607","","1582","485","3,262","97,801","Très facile","6,684","1","0","","288","278","0","100,000","423","264","0","7","7","0","","","","","7b67b31b6f6194e9528c508bd4c7fc54","0,311","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","2026-03-05 16:58:36"
