"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.rougier-ple.fr/library/pictures/home_page/h2/encarts-bas-site-pass-culture.jpg","image/jpeg","200","OK","Indexable","","0","0,060","",""
"https://www.rougier-ple.fr/aquarelle-miel.r.html","text/html;charset=UTF-8","200","OK","Indexable","","402","1,405","",""
"https://www.rougier-ple.fr/stylo-effacable.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,655","",""
"https://www.rougier-ple.fr/livre-beaux-arts.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,473","",""
"https://www.rougier-ple.fr/livre-loisir.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,452","",""
"https://www.rougier-ple.fr/gommette-sticker.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,459","",""
"https://www.rougier-ple.fr/VAD/resources/js/common/header.js","text/javascript","200","OK","Indexable","","0","0,056","",""
"https://www.rougier-ple.fr/carnet-de-croquis-1586.r.html","text/html;charset=UTF-8","200","OK","Indexable","","402","1,574","",""
"https://www.rougier-ple.fr/impression.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,406","",""
"https://www.rougier-ple.fr/machine-de-decoupe.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,532","",""
"https://www.rougier-ple.fr/beaux-arts/aquarelle.r.html","text/html;charset=UTF-8","200","OK","Indexable","","402","1,310","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_crea.jpg","image/jpeg","200","OK","Indexable","","0","0,067","",""
"https://flex.msn.com/mstag/site/141c2256-5462-46ad-b040-e68d84cd464e/mstag.js","","301","Moved Permanently","Non indexable","Redirigé","0","0,007","https://www.msn.com/mstag/site/141c2256-5462-46ad-b040-e68d84cd464e/mstag.js","Redirection HTTP"
"https://www.rougier-ple.fr/perle-bijou.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,739","",""
"https://www.rougier-ple.fr/tranchefile-signet-1595.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,711","",""
"https://www.rougier-ple.fr/faber-castell.r.html","text/html;charset=UTF-8","200","OK","Indexable","","15","2,500","",""
"https://www.rougier-ple.fr/carte-enveloppe-bloc.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,757","",""
"https://www.rougier-ple.fr/plume-pompon-paillette.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,890","",""
"https://www.rougier-ple.fr/les-marques.r.html","text/html;charset=UTF-8","200","OK","Indexable","","2238","2,487","",""
"https://www.rougier-ple.fr/encre-de-chine-2997.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,814","",""
"https://www.rougier-ple.fr/aerographie.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","0,524","",""
"https://www.rougier-ple.fr/VAD/resources/js/merchandising/catalogEntry.js","text/javascript","200","OK","Indexable","","0","0,058","",""
"https://www.rougier-ple.fr/sac-artiste-carton-dessin-1588.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,880","",""
"https://www.rougier-ple.fr/cricut-autopress-professionnelle.r.html","text/html;charset=UTF-8","200","OK","Indexable","","1","0,146","",""
"https://www.rougier-ple.fr/peinture-gouache.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","0,992","",""
"https://www.rougier-ple.fr/stylo-quatre-couleurs.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,354","",""
"https://www.rougier-ple.fr/reliure.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,472","",""
"https://www.rougier-ple.fr/VAD/resources/js/jquery/jquery-ui-1.8.14.custom.min.js","text/javascript","200","OK","Indexable","","0","0,056","",""
"https://www.rougier-ple.fr/faq.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,087","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/img/common/logo.png","image/png","200","OK","Indexable","","0","0,033","",""
"https://www.rougier-ple.fr/enfant-deco-anniversaire.r.html","text/html;charset=UTF-8","200","OK","Indexable","","406","1,748","",""
"https://www.rougier-ple.fr/book.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,397","",""
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,570","",""
"https://www.rougier-ple.fr/papier-technique.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,485","",""
"https://www.rougier-ple.fr/VAD/resources/js/merchandising/visio.js","text/javascript","200","OK","Indexable","","0","0,057","",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,730","",""
"https://www.rougier-ple.fr/gomme-1591.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,527","",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","text/html;charset=UTF-8","200","OK","Indexable","","402","1,746","",""
"https://www.rougier-ple.fr/cyanotype.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,484","",""
"https://www.rougier-ple.fr/colle-adhesif.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,711","",""
"https://www.rougier-ple.fr/cosmetiques.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","0,247","",""
"https://www.rougier-ple.fr/puzzle-enfants.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,533","",""
"https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","text/html;charset=UTF-8","200","OK","Indexable","","406","1,696","",""
"https://www.rougier-ple.fr/library/layer/menu_item_0.png","image/png","200","OK","Indexable","","0","0,019","",""
"https://www.rougier-ple.fr/VAD/resources/js/dictionary/dictionary_fr_FR.js","text/javascript","200","OK","Indexable","","0","0,071","",""
"https://www.rougier-ple.fr/library/pictures/footer/rea_contact-2025.png","image/png","200","OK","Indexable","","0","0,019","",""
"https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","2,063","",""
"https://www.rougier-ple.fr/chevalet-1587.r.html","text/html;charset=UTF-8","200","OK","Indexable","","402","1,702","",""
"https://www.rougier-ple.fr/dessin-technique.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,817","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/css/screen.css?2","text/css","200","OK","Indexable","","0","0,061","",""
"https://blog.rougier-ple.fr/","text/html; charset=UTF-8","200","OK","Indexable","","278","1,131","",""
"https://www.rougier-ple.fr/pastel-1589.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,614","",""
"https://www.rougier-ple.fr/silicone-latex.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,375","",""
"https://www.rougier-ple.fr/calame.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,617","",""
"https://www.rougier-ple.fr/regle-reglet-echelle.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,632","",""
"https://www.googleadservices.com/pagead/conversion.js","text/javascript; charset=ISO-8859-1","200","OK","Indexable","","0","0,016","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_02.png","image/png","200","OK","Indexable","","0","0,018","",""
"https://www.rougier-ple.fr/entreprise.r.html","text/html;charset=UTF-8","200","OK","Indexable","","278","0,081","",""
"https://www.rougier-ple.fr/format-raisin.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,863","",""
"https://www.rougier-ple.fr/paques.r.html","text/html;charset=UTF-8","200","OK","Indexable","","320","0,148","",""
"https://www.rougier-ple.fr/peinture-huile.r.html","text/html;charset=UTF-8","200","OK","Indexable","","314","0,631","",""
"https://www.rougier-ple.fr/beaux-arts/huile.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,694","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/nepasmanquer.jpg","image/jpeg","200","OK","Indexable","","0","0,059","",""
"https://www.rougier-ple.fr/peinture-par-numero.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,648","",""
"https://www.rougier-ple.fr/posca-1315.r.html","text/html;charset=UTF-8","200","OK","Indexable","","14","2,664","",""
"https://www.rougier-ple.fr/materiel-architecture.r.html","text/html;charset=UTF-8","200","OK","Indexable","","281","0,349","",""
"https://www.rougier-ple.fr/ciseaux-colle.r.html","text/html;charset=UTF-8","200","OK","Indexable","","406","1,686","",""
"https://www.rougier-ple.fr/moule-resine.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,819","",""
"https://www.rougier-ple.fr/presse.r.html","text/html;charset=UTF-8","200","OK","Indexable","","278","0,106","",""
"https://www.rougier-ple.fr/magasins.r.html","text/html;charset=UTF-8","200","OK","Indexable","","561","0,070","",""
"https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,495","",""
"https://pixel.social-media-system.com/script/home","text/javascript; charset=utf-8","200","OK","Indexable","","0","0,058","",""
"https://www.rougier-ple.fr/library/layer/menu_item_3.png","image/png","200","OK","Indexable","","0","0,024","",""
"https://www.rougier-ple.fr/crea-1257.r.html","text/html;charset=UTF-8","200","OK","Indexable","","13","2,514","",""
"https://www.rougier-ple.fr/library/pictures/footer/rea_paiement-securise-2025.png","image/png","200","OK","Indexable","","0","0,019","",""
