"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-mod-login-form.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,067","",""
"https://www.casapy.com/wp-content/uploads/2026/01/B000460-VEGA-XL-PORTLAND-MARINE_AMB2-1-430x430.jpg","image/jpeg","200","OK","Indexable","","0","0,057","",""
"https://www.casapy.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.10.5.1","application/javascript","200","OK","Indexable","","0","0,065","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-mod-stock-status.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,061","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/el-gallery.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,069","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-gutenberg.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,062","",""
"https://www.casapy.com/wp-content/uploads/2026/01/A144094_Casapy_Sirius_L_Lincoln_ANTHRA_AMB3.jpg","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","0","1,635","",""
"https://www.casapy.com/wp-content/uploads/2026/01/A145193-Generated-Image-January-09-2026-3_46PM-800x800.jpeg","image/jpeg","200","OK","Indexable","","0","0,022","",""
"https://www.casapy.com/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1","application/javascript","200","OK","Indexable","","0","0,064","",""
"https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","text/html; charset=UTF-8","200","OK","Indexable","","128","4,837","",""
"https://www.casapy.com/shop/%20","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","65","1,228","https://www.casapy.com/shop/","Redirection HTTP"
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-widget-layered-nav-stock-status.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,027","",""
"https://www.casapy.com/wp-content/uploads/2026/01/Design-sans-titre-2026-01-13T155431.507.png","image/png","200","OK","Indexable","","0","0,058","",""
