"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.promovacances.com/resources/static/dist/home/home.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","38466","38466","38466","14,736","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,008","Fri, 13 Feb 2026 17:19:12 GMT","","","","","1.1","","","","","","https://www.promovacances.com/resources/static/dist/home/home.js?r=edc974b935494fc24f6fa8e225835003","2026-02-19 14:31:44"
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","text/html;charset=UTF-8","200","OK","Indexable","","Hôtel Sagitario Princesa Playa Ciutadella Minorque","50","450","Découvrez Sagitario Princesa Playa à Ciutadella, Minorque : dès 390.00€ (VOL+HOTEL). Promos toute l'année !","107","691","","0","Hôtel Sagitario Princesa Playa","30","","0","Dates de départ et tarifs","25","Situation","9","index, follow","","","https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","","","","","","1284171","130055","130055","49,822","","3423","573","5,974","74,625","Assez facile","2,002","1","1","","5","4","0","1,040","100","86","0","16","15","0","","","","","1acab62ddcfdafb770ab7836797df0e8","1,463","Thu, 19 Feb 2026 13:31:45 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","2026-02-19 14:31:42"
"https://www.promovacances.com/france/campings-france/","text/html;charset=UTF-8","200","OK","Indexable","","Camping France bord de mer & montagne","37","370","Camping en France : comparez les offres des plus grands acteurs en quelques clics avec Promovacances. Bons plans campings en France pour les vacances !","151","989","","0","Camping : nos campings pas chers en France","42","","0","Pourquoi choisir un camping en France ?","39","Nos Destinations de Camping en France","37","index, follow","","","https://www.promovacances.com/france/campings-france/","https://www.promovacances.com/france/campings-france/?pageNumber=2","","","","","647498","91612","91612","35,095","","3177","677","4,693","78,860","Assez facile","3,689","1","2","","385","383","0","99,740","108","85","0","8","8","0","","","","","606d2cdc338a0b3ab7ca4caa726b235b","0,039","Wed, 18 Feb 2026 14:24:36 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/france/campings-france/","2026-02-19 14:31:44"
"https://www.promovacances.com/resources/static/dist/common/common.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","11715","11715","11715","4,488","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,008","Fri, 13 Feb 2026 17:19:12 GMT","","","","","1.1","","","","","","https://www.promovacances.com/resources/static/dist/common/common.js?r=edc974b935494fc24f6fa8e225835003","2026-02-19 14:31:44"
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","text/html;charset=UTF-8","200","OK","Indexable","","Vacances scolaires 2026 et séjours vacances pas cher","52","484","Vacances 2026 : séjours tout compris et locations vacances pas cher en France et Europe. Réservez tôt vos vacances scolaires et profitez des promos.","148","942","","0","Vacances 2026 : séjours et locations pas cher","45","","0","Top Promos","10","Nos bons plans Vacances","23","index, follow","","","https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","","","","","","429241","71696","71696","27,465","","981","174","5,638","89,434","Facile","2,273","1","2","","386","383","0","99,740","132","103","0","9","9","0","","","","","490d6423436cdf3bb5efa67032e0bbea","2,721","Thu, 19 Feb 2026 13:31:45 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","2026-02-19 14:31:41"
"https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","text/html;charset=UTF-8","200","OK","Indexable","","Croisières en catamaran dans les Caraïbes | Promovacances","57","537","Découvrez les Caraïbes d'une façon inédite à bord d'un voilier d'exception. Naviguez d'île en île en catamaran et découvrez une variété de paysages à couper le souffle !","169","1044","","0","Croisières à la voile dans les Caraïbes !","41","","0","","0","","0","index, follow","","","https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","","","","","","225714","46579","46579","17,844","","711","112","6,348","59,986","Assez difficile","3,950","1","2","","383","383","0","99,740","58","48","0","8","8","0","","","","","48a8173460a00525aa8cc20874b3fd57","0,026","Wed, 18 Feb 2026 14:24:38 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","2026-02-19 14:31:44"
"https://www.promovacances.com/fstrz/r/s/static.service-voyages.com/photos/vignettes/promovacances.com/20251219130659-promovacances.com-Tout-compris-310X277_Desktop_PMVC.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","7","","0","0","0","0,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://www.promovacances.com/fstrz/r/s/static.service-voyages.com/photos/vignettes/promovacances.com/20251219130659-promovacances.com-Tout-compris-310X277_Desktop_PMVC.jpg","2026-02-19 14:31:45"
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","Circuit Mexique | 95 offres de circuits touristiques","52","439","95 circuits Mexique pas chers avec Promovacances, à partir de 2003€ ☀☀. Circuit Mexique 15 jours, 3 semaines. Partez à la découverte des 4 coins du monde. Circuit pas cher à prix promos. ⇨Réservez maintenant !","209","1326","","0","Circuit Mexique","15","","0","Circuit au Mexique","18","La Météo Mexique","16","index, follow","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/?pageNumber=2","","","","","640025","89863","89863","34,425","","2559","612","4,181","90,287","Très facile","2,956","1","6","","398","383","0","99,740","126","108","0","8","8","0","","","","","ce57008b12a797173feee66d6958600f","0,052","Wed, 18 Feb 2026 14:25:01 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","2026-02-19 14:31:45"
"https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/","text/html;charset=UTF-8","200","OK","Indexable","","Voyage Tanzanie : séjours tout compris et safaris dès 849 €","59","529","Découvrez nos voyages en Tanzanie : safari dans les grands parcs, détente à Zanzibar ou combiné safari + plage. Séjours tout compris avec vols inclus.","150","946","","0","Voyages en Tanzanie all inclusive, circuits et safaris","54","","0","Réservez un voyage en Tanzanie","30","Focus Tanzanie","14","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/","https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/?pageNumber=2","","","","","678955","96490","96490","36,963","","2610","595","4,387","91,754","Très facile","2,849","1","2","","17","16","0","4,170","126","108","0","8","8","0","","","","","4ee0ccaaed35fab1b4e836bde1aecdba","0,955","Thu, 19 Feb 2026 13:31:46 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/","2026-02-19 14:31:45"
"https://www.promovacances.com/vacances-sejour-hotel/voyage-jordanie/","","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","13","13","0","3,390","0","0","0","0","0","0","","","","","","13,057","","https://www.promovacances.com/","Redirection HTTP","","","1.1","","","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-jordanie/","2026-02-19 14:31:40"
