"Adresse","Code HTTP","Title 1"
"https://www.infopro-digital.com/fr/carrieres/travailler-chez-infopro-digital/","200","Travailler chez Infopro Digital - Infopro Digital"
"https://www.infopro-digital.com/fr/groupe/strategie-rse/","200","Nos engagements RSE pour contribuer au succès durable de nos clients"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-est-classe-26eme-meilleur-employeur-en-2022-dans-la-categorie-tech-du-palmares-capital/","200","Infopro Digital est classé 26ème meilleur employeur en 2022 dans la catégorie tech du palmarès Capital - Infopro Digital"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=contenu","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/media/","200","Media - Infopro Digital"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-index-de-legalite-femmes-hommes-2024/","200","Infopro Digital – Index de l’égalité femmes-hommes 2024 - Infopro Digital"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=support","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=information-technology","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/solutions/lead-generation-platforms/","200","Get leads, clients, and sales with our digital platforms"
"https://www.infopro-digital.com/fr/carrieres/job-board/","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/solutions/software-and-databases/","200","The best of data and technology for your business software"
"https://www.infopro-digital.com/group/international/","200","International - Infopro Digital"
"https://www.infopro-digital.com/solutions/","200","Digital solutions for professionals, companies, and local governments"
"https://www.infopro-digital.com/sectors/construction-and-public-sector/","200","Construction and public sector: trends, analysis, and solutions"
"https://www.infopro-digital.com/legal-notice-and-gtu/","200","Legal Notice and GTU - Infopro Digital"
"https://www.infopro-digital.com/fr/mot-de-passe-oublie/","200","Mot de passe oublié ? - Infopro Digital"
"https://www.infopro-digital.com/financial-access/","200","Financial access - Infopro Digital"
"https://www.infopro-digital.com/fr/nous-contacter/","200","Nous contacter - Infopro Digital"
"https://www.infopro-digital.com/sectors/industry/","200","The transformation of industry is just getting started"
"https://www.infopro-digital.com/sectors/risk-and-insurance/","200","Insurance and risk industry: trends and solutions."
"https://www.infopro-digital.com/solutions/information-and-insights/","200","Top influential media brands to target B2B decision-makers"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris/","200","CONDITIONS GÉNÉRALES DE VENTE TERRITORIAL EDITIONS - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/cgv-des-editions-de-largus-de-lassurance-derniere-mise-a-jour-07-2024/","200","CGV DES ÉDITIONS DE L'ARGUS DE L'ASSURANCE (dernière mise à jour 08/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipdata-service/","200","General terms and conditions of sale France - IPDATA Service (last updated 07/2024) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-ipd-leads/","200","Conditions Générales de Vente du SERVICE IPD LEADS (dernière mise à jour 10/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-infopro-digital-etudes/","200","General terms and conditions of sale France - Infopro Digital Etudes (last updated 07/2024)  - Infopro Digital"
"https://www.infopro-digital.com/terms-and-conditions/","200","Terms and Conditions for services and products delivered by Infopro Digital Services Limited - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-ventes-conditions-generales-dabonnement-et-dutilisation-kheox/","200","CONDITIONS GENERALES DE VENTES Conditions générales d’abonnement et d’utilisation «KHEOX» - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris-2/","200","CONDITIONS GÉNÉRALES D’ABONNEMENT ET D’UTILISATION « MONITEUR JURIS » - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-editions-du-moniteur/","200","CONDITIONS GÉNÉRALES DE VENTE EDITIONS DU MONITEUR - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-webinar-service/","200","General terms and conditions of sale France - Webinar service General terms and conditions of sale France - Infopro Digital Stories (last updated 07/2025)  - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-dabonnement-des-produits-de-presse-et-des-services-numeriques/","200","Conditions Générales De Vente D'abonnement et d'Utilisation Des Produits De Presse Et Des Services Numériques + Offres PASS (dernière mise à jour 03/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-et-dutilisation-des-produits-et-services-batiprix/","200","CONDITIONS GÉNÉRALES DE VENTE ET D’UTILISATION DES PRODUITS ET SERVICES BATIPRIX (dernière mise à jour le 09/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-for-selling-ad-space-press-internet-and-references/","200","General terms and conditions for Selling ad space press, Internet, and References (last update 10/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-events/","200","Conditions Générales de Vente Events (dernière mise à jour 07/2024) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/publicite-presse-internet-et-referencement/","200","Conditions générales de vente d’Espace Publicitaire Presse, Internet et Référencement (dernière mise à jour 10/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/webinars/","200","Conditions générales de vente - Service de Webinars (dernière mise à jour 07/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-france-infopro-digital-stories/","200","General terms and conditions of sale France - Infopro Digital Stories (last update 02/2026)  - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/infopro-data/","200","Conditions générales de vente – Service IPDATA (dernière mise à jour 07/2024) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/infopro-digital-etudes/","200","Conditions générales de vente – Infopro Digital Etudes (dernière mise à jour 7/2024) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-formations/","200","Conditions Générales de Vente Formations (dernière mise à jour 03/2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-trophees/","200","Conditions Générales de Vente Trophées (dernière mise à jour 07/2024) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipd-leads-service-last-updated-10-2025/","200","GENERAL TERMS AND CONDITIONS OF SALE - IPD LEADS SERVICE (last updated 10.2025) - Infopro Digital"
"https://www.infopro-digital.com/fr/cgv/infopro-digital-stories/","200","Conditions générales de vente – Infopro Digital Stories (dernière mise à jour 02/2026) - Infopro Digital"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/10/infopro-digital-span.pdf","200","Schéma Pluriannuel de Mise en Accessibilité Numérique (SPAN) du Groupe Infopro Digital"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/10/infopro-digital-planactions.pdf","200","Actions réalisées en faveur de l'accessiiblité numérique dans le Groupe Infopro Digital à partir de 2020"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/10/infopro-digital-actions.pdf","200","Plan d'actions en faveur de l'accessiiblité numérique dans le Groupe Infopro Digital"
"https://www.infopro-digital.com/rgpd-gdpr/","301",""
"https://www.infopro-digital.com/group/about-us/","200","Digital expertise serving companies and professionals"
"https://www.infopro-digital.com/news/john-van-der-valk-joins-infopro-digital-as-managing-director-trade-shows/","200","John van der Valk joins Infopro Digital as Managing Director Trade Shows - Infopro Digital"
"https://www.infopro-digital.com/en/contact/","404",""
"https://www.infopro-digital.com/news/supporting-return-to-work-after-cancer/","200","Supporting Return to Work After Cancer - Infopro Digital"
"https://www.infopro-digital.com/news/press-release-infopro-digital-acquires-eucon-automotive-a-global-pricing-and-data-provider-for-the-automotive-aftermarket/","200","[Press release] Infopro Digital acquires Eucon Automotive, a global pricing and data provider for the automotive aftermarket - Infopro Digital"
"https://www.infopro-digital.com/news/appointment-of-ben-wood/","200","Appointment of Ben Wood - Infopro Digital"
"https://www.infopro-digital.com/news/discover-the-2023-environmental-social-and-governance-report/","200","Discover the 2023 Environmental, Social and Governance report. - Infopro Digital"
"https://www.infopro-digital.com/data-protection/politica-privind-datele-cu-caracter-personal/","200","POLITICA PRIVIND DATELE CU CARACTER PERSONAL - Infopro Digital"
"https://www.infopro-digital.com/data-protection/it/","200","INFORMATIVA SUI DATI PERSONALI - Infopro Digital"
"https://www.infopro-digital.com/data-protection/fr/","200","POLITIQUE EN MATIÈRE DE DONNÉES PERSONNELLES - Infopro Digital"
"https://www.infopro-digital.com/data-protection/eng/","200","PERSONAL DATA POLICY - Infopro Digital"
"https://www.infopro-digital.com/data-protection/nl/","200","BELEID INZAKE PERSOONSGEGEVENS - Infopro Digital"
"https://www.infopro-digital.com/data-protection/pt/","200","POLÍTICA DE DADOS PESSOAIS - Infopro Digital"
"https://www.infopro-digital.com/data-protection/de/","200","RICHTLINIE ZUM SCHUTZ PERSONENBEZOGENER DATEN - Infopro Digital"
"https://www.infopro-digital.com/careers/job-board/","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/group/esg-strategy/","200","Our ESG commitments to contribute to our clients' sustainable success"
"https://www.infopro-digital.com/data-protection/es/","200","POLÍTICA DE DATOS PERSONALES - Infopro Digital"
"https://www.infopro-digital.com/careers/job-board/?_jobs=content","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/news/infopro-digital-a-mayor-player-in-the-french-technology-ecosystem/","200","Infopro Digital, a major player in the French technology ecosystem - Infopro Digital"
"https://www.infopro-digital.com/careers/job-board/?_jobs=marketing","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/careers/working-at-infopro-digital/","200","Working at Infopro Digital - Infopro Digital"
"https://www.infopro-digital.com/careers/job-board/?_jobs=information-technology","200","Job Board - Infopro Digital"
"http://www.infopro-digital.com/","301",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/07/cgv-infopro-digital-etudes-07-2024-fr.pdf","200",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=sales","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/07/cgv-ipdata-07-2024-fr.pdf","200",""
