"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Hachage","Longueur","Élément de lien en version canonique 1","Adresse codée en URL"
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","text/html; charset=utf-8","200","OK","Indexable","","892e96bf9d2a302e7ab0310e3729be83","70","https://www.infopro-digital.com/fr/expertises/information-et-insights/","https://www.infopro-digital.com/fr/expertises/information-et-insights/"
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","text/html; charset=utf-8","200","OK","Indexable","","9fb3d711229bd1ca7080c66adbef07db","68","https://www.infopro-digital.com/fr/expertises/salons-professionnels/","https://www.infopro-digital.com/fr/expertises/salons-professionnels/"
"https://www.infopro-digital.com/fr/cgv/","text/html; charset=utf-8","200","OK","Indexable","","94eaf6d6c3802e2650d0ed14b2009b85","39","https://www.infopro-digital.com/fr/cgv/","https://www.infopro-digital.com/fr/cgv/"
"https://www.infopro-digital.com/fr/groupe/","text/html; charset=utf-8","200","OK","Indexable","","de3c676d7a1a36c8ec98318f3cacc19b","42","https://www.infopro-digital.com/fr/groupe/","https://www.infopro-digital.com/fr/groupe/"
"https://www.infopro-digital.com/fr/secteurs/","text/html; charset=utf-8","200","OK","Indexable","","bfed36dc27bda1e8b9e5310305b51fef","44","https://www.infopro-digital.com/fr/secteurs/","https://www.infopro-digital.com/fr/secteurs/"
"https://www.infopro-digital.com/","text/html; charset=utf-8","200","OK","Indexable","","60934e927599d195af4a995291f94202","32","https://www.infopro-digital.com/","https://www.infopro-digital.com/"
"https://www.infopro-digital.com/fr/groupe","text/html; charset=utf-8","200","OK","Non indexable","Canonisé","de3c676d7a1a36c8ec98318f3cacc19b","41","https://www.infopro-digital.com/fr/groupe/","https://www.infopro-digital.com/fr/groupe"
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=55f79c4159","application/javascript","200","OK","Indexable","","","93","","https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=55f79c4159"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/homepage.jpg","image/jpeg","200","OK","Indexable","","","72","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/homepage.jpg"
"https://www.infopro-digital.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=f86b854fc7","text/css","200","OK","Indexable","","","98","","https://www.infopro-digital.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=f86b854fc7"
"https://www.infopro-digital.com/fr/secteurs/distribution/","text/html; charset=utf-8","200","OK","Indexable","","aef3106baeb2e857813da6ec5499de46","57","https://www.infopro-digital.com/fr/secteurs/distribution/","https://www.infopro-digital.com/fr/secteurs/distribution/"
"https://www.infopro-digital.com/fr/contact/","text/html; charset=utf-8","200","OK","Indexable","","d23ef52bf5fba1f427b5f559bd880c9f","43","https://www.infopro-digital.com/fr/contact/","https://www.infopro-digital.com/fr/contact/"
"https://www.infopro-digital.com/fr/secteurs/automobile/","text/html; charset=utf-8","200","OK","Indexable","","3c321d7257fde0d512d7ca897bd7c5e0","55","https://www.infopro-digital.com/fr/secteurs/automobile/","https://www.infopro-digital.com/fr/secteurs/automobile/"
"https://www.infopro-digital.com/app/plugins/gravityforms/js/conditional_logic.min.js?ver=419bdd7efe","application/javascript","200","OK","Indexable","","","99","","https://www.infopro-digital.com/app/plugins/gravityforms/js/conditional_logic.min.js?ver=419bdd7efe"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-haynespro.png","image/png","200","OK","Indexable","","","78","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-haynespro.png"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/equipeautomotive.jpg","image/jpeg","200","OK","Indexable","","","80","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/equipeautomotive.jpg"
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","text/html; charset=UTF-8","200","OK","Indexable","","79d61e6c017e354abf9502c28d8b2fde","71","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf","application/pdf","200","OK","Indexable","","","87","","https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf","application/pdf","200","OK","Indexable","","","90","","https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-planactions-fr.pdf","application/pdf","200","OK","Indexable","","","94","","https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-planactions-fr.pdf"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-connect.png","image/png","200","OK","Indexable","","","76","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-connect.png"
"https://www.infopro-digital.com/app/uploads/sites/2/2024/04/1991688809-1-1024x717.jpg","image/jpeg","200","OK","Indexable","","","85","","https://www.infopro-digital.com/app/uploads/sites/2/2024/04/1991688809-1-1024x717.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-atelierpro.png","image/png","200","OK","Indexable","","","79","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-atelierpro.png"
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","text/html; charset=UTF-8","200","OK","Indexable","","8c1ccbcdaae99a78c1cec4fd02b6dbb1","111","https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/09/kardham-infopro-digital-gentilly-photo-shoootin-hd-2/2472733839.jpg","image/jpeg","200","OK","Indexable","","","133","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/09/kardham-infopro-digital-gentilly-photo-shoootin-hd-2/2472733839.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-tlf.png","image/png","200","OK","Indexable","","","72","","https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-tlf.png"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-lsa-1.png","image/png","200","OK","Indexable","","","74","","https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-lsa-1.png"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-jdcgarden-1.png","image/png","200","OK","Indexable","","","80","","https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-jdcgarden-1.png"
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","text/html; charset=utf-8","200","OK","Indexable","","93900717c7aaf0e00e6316b0fdef4c2e","216","https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/"
"https://www.infopro-digital.com/app/uploads/sites/2/2025/06/msa-statement-2025.pdf","application/pdf","200","OK","Indexable","","","82","","https://www.infopro-digital.com/app/uploads/sites/2/2025/06/msa-statement-2025.pdf"
"https://www.infopro-digital.com/sectors/automotive/","text/html; charset=utf-8","200","OK","Indexable","","db606ca77827d0ca38b8f75a3568a318","51","https://www.infopro-digital.com/sectors/automotive/","https://www.infopro-digital.com/sectors/automotive/"
"https://www.infopro-digital.com/contact-us/","text/html; charset=utf-8","200","OK","Indexable","","363abb8eb24c097f3725dab0c2bc2fc6","43","https://www.infopro-digital.com/contact-us/","https://www.infopro-digital.com/contact-us/"
"https://www.infopro-digital.com/sectors/retail/","text/html; charset=utf-8","200","OK","Indexable","","d9f92623b82fe6d5b4c1d8efdb7e857","47","https://www.infopro-digital.com/sectors/retail/","https://www.infopro-digital.com/sectors/retail/"
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","text/html; charset=utf-8","200","OK","Indexable","","42d5fb096844e707e5a425d6be8ec6ff","65","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/"
"https://www.infopro-digital.com/solutions/tradeshows/","text/html; charset=utf-8","200","OK","Indexable","","d459a177670a8d4f43e072e740b10589","53","https://www.infopro-digital.com/solutions/tradeshows/","https://www.infopro-digital.com/solutions/tradeshows/"
"https://www.infopro-digital.com/sectors/","text/html; charset=utf-8","200","OK","Indexable","","a30a8670bf0caada37ed5f6a71d3f459","40","https://www.infopro-digital.com/sectors/","https://www.infopro-digital.com/sectors/"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3379403357.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3379403357.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1911772659.jpg","image/jpeg","200","OK","Indexable","","","105","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1911772659.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1631910092.jpg","image/jpeg","200","OK","Indexable","","","105","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1631910092.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2760-2/1123637963.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2760-2/1123637963.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3287083848.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3287083848.jpg"
"https://www.infopro-digital.com/group/","text/html; charset=utf-8","200","OK","Indexable","","c73e67b3d787f2e5dd76bc9d146af23e","38","https://www.infopro-digital.com/group/","https://www.infopro-digital.com/group/"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-1781-1/3423105502.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-1781-1/3423105502.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/2317396083.jpg","image/jpeg","200","OK","Indexable","","","91","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/2317396083.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3361007747.jpg","image/jpeg","200","OK","Indexable","","","90","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3361007747.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3340238611.jpg","image/jpeg","200","OK","Indexable","","","105","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3340238611.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3489951313.jpg","image/jpeg","200","OK","Indexable","","","90","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3489951313.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3307259406.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3307259406.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/weare.jpg","image/jpeg","200","OK","Indexable","","","69","","https://www.infopro-digital.com/app/uploads/sites/2/2022/08/weare.jpg"
"https://www.infopro-digital.com/fr/groupe/a-propos/","text/html; charset=utf-8","200","OK","Indexable","","b3486662e15ce2166346521eb8533319","51","https://www.infopro-digital.com/fr/groupe/a-propos/","https://www.infopro-digital.com/fr/groupe/a-propos/"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-2033-recadree-pour-site/3921248026.jpg","image/jpeg","200","OK","Indexable","","","120","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-2033-recadree-pour-site/3921248026.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1850-recadree-pour-sit/3013739154.jpg","image/jpeg","200","OK","Indexable","","","119","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1850-recadree-pour-sit/3013739154.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3483481883.jpg","image/jpeg","200","OK","Indexable","","","103","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3483481883.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1948-recadree-pour-site/366759582.jpg","image/jpeg","200","OK","Indexable","","","119","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1948-recadree-pour-site/366759582.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3617608236.jpg","image/jpeg","200","OK","Indexable","","","105","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3617608236.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0225-3/542908616.jpg","image/jpeg","200","OK","Indexable","","","102","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0225-3/542908616.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-0123-recadree/500225318.jpg","image/jpeg","200","OK","Indexable","","","109","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-0123-recadree/500225318.jpg"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/3806677773.jpg","image/jpeg","200","OK","Indexable","","","91","","https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/3806677773.jpg"
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","text/html; charset=utf-8","200","OK","Indexable","","ad513405eed27995f62dc6660162ae79","133","https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/"
"https://www.infopro-digital.com/app/plugins/facetwp/assets/js/dist/front.min.js?ver=4.4.1","application/javascript","200","OK","Indexable","","","89","","https://www.infopro-digital.com/app/plugins/facetwp/assets/js/dist/front.min.js?ver=4.4.1"
"https://www.infopro-digital.com/news/","text/html; charset=utf-8","200","OK","Indexable","","4142f0a6b028c2e45cb609d311351511","37","https://www.infopro-digital.com/news/","https://www.infopro-digital.com/news/"
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/js/src/accessibility.js?ver=1771512790","application/javascript","200","OK","Indexable","","","113","","https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/js/src/accessibility.js?ver=1771512790"
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/vendor/fSelect/fSelect.js?ver=1771512790","application/javascript","200","OK","Indexable","","","115","","https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/vendor/fSelect/fSelect.js?ver=1771512790"
"https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","text/html; charset=UTF-8","200","OK","Indexable","","f1297489237dce118ccd7a3bc83a2b9c","193","https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/"
"https://www.infopro-digital.com/app/uploads/sites/2/2025/12/couverture-guide.png","image/png","200","OK","Indexable","","","80","","https://www.infopro-digital.com/app/uploads/sites/2/2025/12/couverture-guide.png"
"https://www.infopro-digital.com/app/plugins/wp-rocket/assets/js/wpr-beacon.min.js","application/javascript","200","OK","Indexable","","","81","","https://www.infopro-digital.com/app/plugins/wp-rocket/assets/js/wpr-beacon.min.js"
"https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","text/html; charset=UTF-8","200","OK","Indexable","","d077558143b65d9e9793e3cc3b981eb1","125","https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/"
"https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","text/html; charset=utf-8","200","OK","Indexable","","ed3be94d2623faba530b1ae7299a0469","96","https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/"
"https://www.infopro-digital.com/data-protection/","text/html; charset=utf-8","200","OK","Indexable","","7cdcc502c6f580cef00f0c87ac3fa3af","48","https://www.infopro-digital.com/data-protection/","https://www.infopro-digital.com/data-protection/"
"https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","text/html; charset=UTF-8","200","OK","Indexable","","a39ea6a7a72794ef5c34b8f56270118f","69","https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/"
