"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.infopro-digital.com/sectors/retail/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/sectors/retail/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/solutions/tradeshows/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/solutions/tradeshows/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/sectors/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/sectors/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3379403357.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1911772659.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1631910092.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2760-2/1123637963.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3287083848.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/group/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/group/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-1781-1/3423105502.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/2317396083.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3361007747.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3340238611.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/04/benwood-r/3489951313.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3307259406.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/weare.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/groupe/a-propos/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
