"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://allaboutdnt.com/","text/html; charset=UTF-8","301","Moved Permanently","3","14"
"https://www.bfdi.bund.de/EN/Service/Kontakt/contact_node.html","","0","Bloqué par robots.txt","3","16"
"https://ico.org.uk/global/contact-us/","text/html; charset=utf-8","200","OK","3","16"
"https://support.apple.com/fr-fr/HT201265","","301","Moved Permanently","3","14"
"https://www.oaic.gov.au/about-us/contact-us","text/html; charset=utf-8","301","Moved Permanently","3","16"
"https://help.vivaldi.com/fr/desktop-fr/privacy-fr/gestion-des-cookies-du-navigateur/","text/html; charset=UTF-8","200","OK","3","14"
"https://www.cnpd.pt/cidadaos/participacoes/","text/html","500","Internal Server Error","3","16"
"https://www.dataprotection.ie/en/contact/how-contact-us","text/html; charset=UTF-8","200","OK","3","16"
"https://www.garanteprivacy.it/web/garante-privacy-en","","0","Connexion refusée","3","16"
"https://www.aepd.es/es/la-agencia/donde-encontrarnos","","301","Moved Permanently","3","16"
"https://autoriteitpersoonsgegevens.nl/en/contact-dutch-dpa/contact-us","text/html","403","Forbidden","3","16"
"http://www.inpdp.tn/liens.html","text/html","301","Moved Permanently","3","16"
"https://www.dataprotection.ro/index.jsp?page=contact","text/html;charset=ISO-8859-1","200","","3","16"
"https://www.autoriteprotectiondonnees.be/citoyen","text/html; charset=UTF-8","200","OK","3","16"
"http://Email.inquiries@infopro/","","0","Échec de la recherche DNS","3","126"
"https://support.brave.com/hc/en-us/articles/360050634931-How-Do-I-Manage-Cookies-In-Brave-","","301","Moved Permanently","3","10"
"https://www.cnil.fr/fr/contacter-la-cnil-standard-et-permanences-telephoniques","text/html; charset=utf-8","301","Moved Permanently","3","16"
"https://www.donotcall.gov/","text/html","200","OK","3","16"
"https://privacy.microsoft.com/fr-fr/windows-10-microsoft-edge-and-privacy","","301","Moved Permanently","3","14"
"http://www.cac.gov.cn/","text/html","307","Temporary Redirect","3","16"
"http://www.bedouk.fr/","","0","Échec de la recherche DNS","3","2"
"http://evenements.infopro-digital.com/","text/html","301","Moved Permanently","3","2"
"http://www.moniteurjuris.fr/","text/html","301","Moved Permanently","3","4"
"https://webikeo.fr/","text/html; charset=utf-8","200","OK","3","2"
"https://d1.awsstatic.com/legal/privacypolicy/AWS_Privacy_Notice_French_Translation.pdf","application/pdf","200","OK","3","2"
"https://www.kheox.fr/","text/html; charset=UTF-8","200","OK","3","8"
"https://www.dsb.gv.at/","text/html; charset=iso-8859-1","301","Moved Permanently","3","16"
"https://www.chapsvision.fr/politique-confidentialite","","301","Moved Permanently","3","2"
"https://d1.awsstatic.com/legal/privacypolicy/AWS_Privacy_Notice__French_Translation.pdf","application/pdf","200","OK","3","2"
"https://www.mailjet.com/fr/legal/politique-confidentialite/","text/html; charset=UTF-8","200","OK","3","3"
"https://www.atlassian.com/fr/legal/privacy-policy","text/html;charset=UTF-8","200","OK","3","2"
"https://meetmarigold.com/privacy-notices/","text/html","301","Moved Permanently","3","1"
"http://www.reglementation-assurance.com/","text/html","301","Moved Permanently","3","1"
"https://www.red-on-line.com/gb/","text/html; charset=UTF-8","200","OK","3","1"
"https://www.ecritel.fr/fr/ecritel/mentions-legales--politique-de-confidentialite-/","text/html; charset=utf-8","200","OK","3","1"
"https://www.editionspeciale-luxepack.com/en/","text/html; charset=utf-8","200","OK","3","1"
"https://www.luxepackmonaco.com/en/","text/html; charset=utf-8","200","OK","3","1"
"https://www.infopro-digital.ch/de/","text/html; charset=UTF-8","200","OK","3","1"
"https://www.red-on-line.com/?__hstc=62022451.cea00b6feb46a0d64faf6d3620cbb06e.1664957884132.1664957884132.1664957884132.1&__hssc=62022451.1.1664957884132&__hsfp=215869664","text/html; charset=UTF-8","200","OK","3","1"
"https://www.companeo.co.uk/","text/html;charset=UTF-8","200","OK","3","1"
"http://www.moniteurjuris-contratspublics.fr/","","0","Expiration du délai de connexion","3","2"
